side,limit,margin,stat,type,fromPosition
long,-38561.3,0.01,open,open Position,1329.7
long,-38351.05,0.01,open,open Position,1322.45
long,-38401.8,0.01,open,open Position,1324.2
long,-38533.75,0.01,open,open Position,1328.75
long,-38365.55,0.01,open,open Position,1322.95
long,-37856.6,0.01,open,open Position,1305.4
long,-37859.5,0.01,open,open Position,1305.5
long,-37990,0.01,open,open Position,1310
long,-37772.5,0.01,open,open Position,1302.5
long,-37599.95,0.01,open,open Position,1296.55
long,-37581.1,0.01,open,open Position,1295.9
long,-37672.45,0.01,open,open Position,1299.05
long,-37457.85,0.01,open,open Position,1291.65
long,-37256.3,0.01,open,open Position,1284.7
long,-37415.8,0.01,open,open Position,1290.2
long,-37533.25,0.01,open,open Position,1294.25
long,-37482.5,0.01,open,open Position,1292.5
long,-37727.55,0.01,open,open Position,1300.95
long,-37789.9,0.01,open,open Position,1303.1
long,-37773.95,0.01,open,open Position,1302.55
long,-37515.85,0.01,open,open Position,1293.65
long,-37401.3,0.01,open,open Position,1289.7
long,-37102.6,0.01,open,open Position,1279.4
